"Source of variation","Df","Sum Sq","Mean Sq","Variance component","Total variance","p-value"
"Between sites",6,59.7928107248088,9.96546845413481,0.702658578352071,22.746209160237,0.001
"Between nests within sites",24,59.0495216560031,2.4603967356668,0.0519778353216391,1.68260767084802,0.485
"Within host nests",46,107.386423327333,2.33448746363767,2.33448746363767,75.5711831689149,0.001
